total_negocios,empleados_promedio,pct_micro,num_sectores_distintos,pct_sector_informal,año_alta_promedio,pct_recientes_3a,pct_recientes_1a,zona_id,lat_centro,lon_centro,prob_formalizacion,score_100,nivel
19,0.0,1.0,5,0.0,2015.8947368421052,0.21052631578947367,0.0,171_87,20.472522522522247,-90.07790659429406,0.6233544496344405,62.3,Alto
13,0.0,1.0,4,0.0,2020.5384615384614,0.5384615384615384,0.0,171_88,20.472522522522247,-90.07308266965742,0.540485826029921,54.0,Alto
2,0.0,1.0,1,0.0,2017.0,0.5,0.0,171_89,20.472522522522247,-90.06825874502078,0.520612261574719,52.1,Alto
1,0.0,1.0,1,0.0,2019.0,0.0,0.0,171_233,20.472522522522247,-89.37361359734473,0.4980798268051684,49.8,Medio
43,0.0,1.0,7,0.0,2017.906976744186,0.46511627906976744,0.0,171_234,20.472522522522247,-89.36878967270809,0.591352168540764,59.1,Alto
24,0.0,1.0,3,0.0,2016.5,0.20833333333333334,0.0,171_235,20.472522522522247,-89.36396574807145,0.6489194998641435,64.9,Alto
9,0.0,1.0,4,0.0,2015.111111111111,0.2222222222222222,0.0,171_236,20.472522522522247,-89.35914182343481,0.6331441486754343,63.3,Alto
9,0.0,1.0,2,0.0,2018.6666666666667,0.3333333333333333,0.0,171_265,20.472522522522247,-89.21924800897227,0.6370479164178271,63.7,Alto
110,0.0,1.0,7,0.0,2016.6818181818182,0.33636363636363636,0.0,171_266,20.472522522522247,-89.21442408433563,0.8485576308958871,84.9,Muy alto
26,0.0,1.0,2,0.0,2018.8461538461538,0.5384615384615384,0.0,171_267,20.472522522522247,-89.209600159699,0.6076060777775628,60.8,Alto
1,0.0,1.0,1,0.0,2024.0,1.0,0.0,171_268,20.472522522522247,-89.20477623506235,0.4476832873392588,44.8,Medio
32,0.0,1.0,10,0.0,2017.46875,0.375,0.0,171_293,20.472522522522247,-89.08417811914637,0.43865275884650734,43.9,Medio
61,0.0,1.0,10,0.0,2016.639344262295,0.2459016393442623,0.0,171_294,20.472522522522247,-89.07935419450973,0.5186235450264309,51.9,Alto
1,0.0,1.0,1,0.0,2019.0,0.0,0.0,172_83,20.47702702702675,-90.09720229284062,0.4980798268051684,49.8,Medio
7,0.0,1.0,2,0.0,2013.7142857142858,0.14285714285714285,0.0,172_84,20.47702702702675,-90.09237836820398,0.6242916197684395,62.4,Alto
29,0.0,1.0,8,0.0,2017.1724137931035,0.20689655172413793,0.0,172_85,20.47702702702675,-90.08755444356734,0.5786647127233163,57.9,Alto
235,0.0,1.0,15,0.0,2017.408510638298,0.32340425531914896,0.01702127659574468,172_86,20.47702702702675,-90.0827305189307,0.5849406635853476,58.5,Alto
83,0.0,1.0,15,0.0,2017.6506024096386,0.3855421686746988,0.012048192771084338,172_87,20.47702702702675,-90.07790659429406,0.40754010953250236,40.8,Medio
19,0.0,1.0,4,0.0,2017.4736842105262,0.2631578947368421,0.0,172_88,20.47702702702675,-90.07308266965742,0.5971605925391443,59.7,Alto
8,0.0,1.0,3,0.0,2013.875,0.0,0.0,172_163,20.47702702702675,-89.71128832190948,0.551855369805013,55.2,Alto
7,0.0,1.0,3,0.0,2019.7142857142858,0.2857142857142857,0.0,172_164,20.47702702702675,-89.70646439727284,0.5906360915399251,59.1,Alto
15,0.0,1.0,5,0.0,2018.4666666666667,0.4,0.0,172_165,20.47702702702675,-89.7016404726362,0.6146534853996072,61.5,Alto
5,0.0,1.0,3,0.0,2021.0,0.4,0.0,172_233,20.47702702702675,-89.37361359734473,0.4759059534570262,47.6,Medio
107,0.0,1.0,10,0.0,2017.1028037383178,0.29906542056074764,0.009345794392523364,172_234,20.47702702702675,-89.36878967270809,0.7559485394724818,75.6,Muy alto
113,0.0,1.0,12,0.0,2015.7079646017698,0.26548672566371684,0.008849557522123894,172_235,20.47702702702675,-89.36396574807145,0.7338815439498473,73.4,Alto
39,0.0,1.0,7,0.0,2018.6923076923076,0.4358974358974359,0.0,172_236,20.47702702702675,-89.35914182343481,0.6315406852772341,63.2,Alto
1,0.0,1.0,1,0.0,2019.0,0.0,0.0,172_237,20.47702702702675,-89.35431789879817,0.4980798268051684,49.8,Medio
3,0.0,1.0,2,0.0,2022.3333333333333,0.6666666666666666,0.0,172_266,20.47702702702675,-89.21442408433563,0.4852860659064315,48.5,Medio
20,0.0,1.0,6,0.0,2018.75,0.45,0.0,172_294,20.47702702702675,-89.07935419450973,0.5971608286212703,59.7,Alto
14,0.0,1.0,5,0.0,2019.5,0.5,0.0,173_84,20.481531531531253,-90.09237836820398,0.5568896158874381,55.7,Alto
42,0.0,1.0,6,0.0,2019.1190476190477,0.38095238095238093,0.0,173_85,20.481531531531253,-90.08755444356734,0.6603211508946708,66.0,Alto
68,0.0,1.0,8,0.0,2019.0,0.4264705882352941,0.0,173_86,20.481531531531253,-90.0827305189307,0.7460253983963991,74.6,Alto
